PARTICLE_C
x,y
2020-04-10T00:00:26.293Z,16
2020-04-10T00:00:56.293Z,15
2020-04-10T00:01:26.293Z,20
2020-04-10T00:01:56.293Z,16
2020-04-10T00:02:26.293Z,16
2020-04-10T00:02:56.293Z,21
2020-04-10T00:03:26.293Z,16
2020-04-10T00:03:56.293Z,23
2020-04-10T00:04:26.293Z,26
2020-04-10T00:04:56.293Z,14
2020-04-10T00:05:26.293Z,14
2020-04-10T00:05:56.293Z,19
2020-04-10T00:06:26.293Z,13
2020-04-10T00:06:56.293Z,15
2020-04-10T00:07:26.293Z,18
2020-04-10T00:07:56.293Z,19
2020-04-10T00:08:26.293Z,20
2020-04-10T00:08:56.293Z,20
2020-04-10T00:09:26.293Z,18
2020-04-10T00:09:56.293Z,19
2020-04-10T00:10:26.292Z,17
2020-04-10T00:10:56.292Z,19
2020-04-10T00:11:26.292Z,23
2020-04-10T00:11:56.292Z,18
2020-04-10T00:12:26.292Z,16
2020-04-10T00:12:56.292Z,11
2020-04-10T00:13:26.292Z,18
2020-04-10T00:13:56.293Z,19
2020-04-10T00:14:26.293Z,19
2020-04-10T00:14:56.293Z,14
2020-04-10T00:15:26.293Z,18
2020-04-10T00:15:56.293Z,11
2020-04-10T00:16:26.293Z,17
2020-04-10T00:16:56.293Z,18
2020-04-10T00:17:26.293Z,21
2020-04-10T00:17:56.293Z,21
2020-04-10T00:18:26.293Z,14
2020-04-10T00:18:56.293Z,15
2020-04-10T00:19:26.293Z,18
2020-04-10T00:19:56.293Z,13
2020-04-10T00:20:26.293Z,13
2020-04-10T00:20:56.293Z,16
2020-04-10T00:21:26.293Z,19
2020-04-10T00:21:56.293Z,25
2020-04-10T00:22:26.293Z,7
2020-04-10T00:22:56.293Z,24
2020-04-10T00:23:26.293Z,14
2020-04-10T00:23:56.293Z,16
2020-04-10T00:24:26.293Z,17
2020-04-10T00:24:56.293Z,7
2020-04-10T00:25:26.293Z,20
2020-04-10T00:25:56.293Z,16
2020-04-10T00:26:26.293Z,22
2020-04-10T00:26:56.293Z,11
2020-04-10T00:27:26.293Z,21
2020-04-10T00:27:56.293Z,21
2020-04-10T00:28:26.293Z,16
2020-04-10T00:28:56.293Z,24
2020-04-10T00:29:26.293Z,18
2020-04-10T00:29:56.293Z,12
2020-04-10T00:30:26.293Z,15
2020-04-10T00:30:56.293Z,17
2020-04-10T00:31:26.293Z,14
2020-04-10T00:31:56.293Z,13
2020-04-10T00:32:26.293Z,15
2020-04-10T00:32:56.293Z,16
2020-04-10T00:33:26.293Z,20
2020-04-10T00:33:56.293Z,18
2020-04-10T00:34:26.293Z,22
2020-04-10T00:34:56.293Z,19
2020-04-10T00:35:26.293Z,21
2020-04-10T00:35:56.293Z,23
2020-04-10T00:36:26.293Z,18
2020-04-10T00:36:56.293Z,24
2020-04-10T00:37:26.293Z,15
2020-04-10T00:37:56.293Z,17
2020-04-10T00:38:26.293Z,21
2020-04-10T00:38:56.293Z,20
2020-04-10T00:39:26.293Z,20
2020-04-10T00:39:56.293Z,21
2020-04-10T00:40:26.293Z,23
2020-04-10T00:40:56.293Z,18
2020-04-10T00:41:26.293Z,33
2020-04-10T00:41:56.293Z,26
2020-04-10T00:42:26.293Z,23
2020-04-10T00:42:56.293Z,28
2020-04-10T00:43:26.293Z,28
2020-04-10T00:43:56.293Z,45
2020-04-10T00:44:26.293Z,39
2020-04-10T00:44:56.293Z,36
2020-04-10T00:45:26.293Z,37
2020-04-10T00:45:56.293Z,42
2020-04-10T00:46:26.293Z,34
2020-04-10T00:46:56.293Z,35
2020-04-10T00:47:26.293Z,27
2020-04-10T00:47:56.293Z,34
2020-04-10T00:48:26.293Z,31
2020-04-10T00:48:56.293Z,43
2020-04-10T00:49:26.293Z,49
2020-04-10T00:49:56.293Z,46
2020-04-10T00:50:26.293Z,43
2020-04-10T00:50:56.293Z,33
2020-04-10T00:51:26.293Z,44
2020-04-10T00:51:56.293Z,46
2020-04-10T00:52:26.293Z,42
2020-04-10T00:52:56.293Z,47
2020-04-10T00:53:26.293Z,35
2020-04-10T00:53:56.293Z,47
2020-04-10T00:54:26.293Z,48
2020-04-10T00:54:56.293Z,41
2020-04-10T00:55:26.293Z,55
2020-04-10T00:55:56.293Z,65
2020-04-10T00:56:26.293Z,66
